longitude,latitude
-0.103557166,51.4526507
-0.103190559,51.45251611
-0.138214502,51.43381822
-0.138064091,51.43379216
-0.137713966,51.43377837
-0.137400359,51.43383822
-0.102917913,51.45245976
-0.102622825,51.45238945
-0.102218149,51.45246361
-0.11756,51.47497457
-0.128031089,51.4555261
-0.138293621,51.43397796
-0.120012387,51.42749187
-0.105827675,51.45339814
-0.105312282,51.45333255
-0.110541229,51.49531831
-0.129519559,51.43696161
-0.113173964,51.46277416
-0.134404817,51.46321267
-0.129431653,51.43712028
-0.129680235,51.4368698
-0.110404858,51.49528148
-0.109963892,51.49520747
-0.109674098,51.4950159
-0.134656349,51.46335284
-0.109337162,51.49489471
-0.117945312,51.46286393
-0.135602793,51.45507577
-0.135637528,51.45490771
-0.135937649,51.45482789
-0.136149489,51.45466265
-0.136372057,51.45447692
-0.136391654,51.45430497
-0.136658447,51.45420397
-0.136780451,51.45396929
-0.137091813,51.45385621
-0.137201529,51.45365815
-0.132922575,51.45587659
-0.137552459,51.45352322
-0.137605531,51.45334646
-0.137800547,51.4531964
-0.138164518,51.45302823
-0.138158881,51.45287934
-0.13842193,51.45278165
-0.138543222,51.45254204
-0.1389168,51.4523365
-0.138899318,51.45201432
-0.139139006,51.45178305
-0.133646165,51.45573706
-0.111750323,51.50047577
-0.111417826,51.50026907
-0.110837059,51.50022635
-0.110647529,51.50017381
-0.110339119,51.50008864
-0.120290991,51.43844289
-0.108114695,51.46460191
-0.136637076,51.43400849
-0.136912606,51.43398266
-0.113106447,51.48380691
-0.101033578,51.47404388
-0.100985304,51.47403551
-0.103298066,51.47520275
-0.109306664,51.48637735
-0.105045423,51.47723711
-0.127259282,51.47479253
-0.127247371,51.47470383
-0.110786884,51.50180738
-0.110699886,51.50192376
-0.129027294,51.47854338
-0.129270453,51.47846383
-0.129198082,51.47824227
-0.129428381,51.4782225
-0.129367228,51.47798157
-0.129633847,51.47788935
-0.129542023,51.47768444
-0.129732304,51.47772531
-0.129830394,51.47721047
-0.130013942,51.47726298
-0.129894348,51.47712543
-0.130078689,51.47715839
-0.129993309,51.4768975
-0.103308464,51.47522997
-0.130115163,51.47670273
-0.106429624,51.4278356
-0.130208129,51.47695051
-0.10678715,51.42765307
-0.130338981,51.47675469
-0.138103793,51.45945092
-0.130272463,51.47652534
-0.130482873,51.47656451
-0.131727011,51.4649749
-0.132033521,51.4649167
-0.107174496,51.42754939
-0.10736658,51.42736745
-0.122290489,51.43922176
-0.122016579,51.43908108
-0.121636692,51.43913429
-0.121294823,51.43898422
-0.120831744,51.43902668
-0.120539257,51.43898813
-0.120322438,51.4388589
-0.119833539,51.43889504
-0.119193981,51.43881143
-0.125313976,51.43961581
-0.11889322,51.43866792
-0.118439946,51.43871249
-0.118148935,51.43857251
-0.117708365,51.43861433
-0.117397673,51.43847193
-0.116980238,51.43851974
-0.116653718,51.43847796
-0.116370121,51.43839837
-0.124576493,51.43941952
-0.124258025,51.43937846
-0.123793302,51.43941711
-0.123444049,51.43927143
-0.123030009,51.4392145
-0.122713358,51.43917303
-0.12443002,51.46834056
-0.116136674,51.43353901
-0.115492166,51.43394141
-0.098664408,51.4611836
-0.097222833,51.4598957
-0.097144674,51.45975191
-0.099063496,51.43617328
-0.098570087,51.43514229
-0.096792993,51.45968757
-0.10901849,51.49478444
-0.096616138,51.45950478
-0.140815853,51.46738392
-0.140417748,51.46780952
-0.140239928,51.46798528
-0.140159771,51.46811348
-0.140073177,51.46840119
-0.139907513,51.46803801
-0.13961753,51.46805681
-0.09633758,51.45947195
-0.096034666,51.45932451
-0.095938809,51.45917841
-0.095540816,51.45898293
-0.095174367,51.45880716
-0.105668246,51.42266786
-0.105781055,51.42251475
-0.105354935,51.42265555
-0.10514056,51.42254755
-0.104931036,51.42267206
-0.104635882,51.42256815
-0.104239047,51.42269682
-0.139437938,51.47081557
-0.139379933,51.47056905
-0.105418358,51.49111033
-0.105548768,51.49133815
-0.105708006,51.49161116
-0.129063152,51.4595546
-0.129061141,51.45929232
-0.129021627,51.45906335
-0.129065026,51.45883729
-0.128915897,51.45856384
-0.129042289,51.45831697
-0.128906192,51.45809646
-0.128921874,51.45787628
-0.129081007,51.45769532
-0.128924651,51.45739222
-0.129123951,51.45726043
-0.128983203,51.45707148
-0.129159683,51.45683702
-0.129044901,51.45663161
-0.129227821,51.45640464
-0.129268379,51.45615322
-0.105880265,51.49189928
-0.129156139,51.45592676
-0.12932926,51.45573338
-0.133213153,51.44050557
-0.132965465,51.44030164
-0.132959993,51.44002039
-0.098186385,51.44821123
-0.098052823,51.44833004
-0.106025144,51.49214868
-0.121599623,51.47824821
-0.106184498,51.49240824
-0.112211845,51.49859868
-0.13896979,51.46840964
-0.12156677,51.49189229
-0.128275934,51.46508471
-0.121702408,51.49168912
-0.124732793,51.45770201
-0.112218906,51.46978728
-0.111840362,51.47013417
-0.124824141,51.45756486
-0.124700124,51.45735075
-0.111975369,51.47027126
-0.112146249,51.47002614
-0.112289861,51.47025907
-0.12265599,51.41897697
-0.132641529,51.45689952
-0.100029484,51.4560632
-0.142916265,51.46085069
-0.143065515,51.46098609
-0.143210038,51.46113216
-0.143594774,51.46134253
-0.143511818,51.46158842
-0.143211148,51.46174485
-0.121494493,51.49208098
-0.124688784,51.45713529
-0.121911267,51.49131221
-0.112830328,51.47616028
-0.113269713,51.47625847
-0.114232517,51.47622263
-0.13923726,51.46864991
-0.139254798,51.46889302
-0.139361021,51.46906231
-0.139609509,51.46927606
-0.124774872,51.4569214
-0.124636992,51.45655031
-0.127393767,51.41369531
-0.125554418,51.4147602
-0.126002345,51.41486235
-0.126122376,51.4146306
-0.126470557,51.41446839
-0.12658413,51.41424062
-0.126923803,51.41408853
-0.127061657,51.41383838
-0.121989523,51.4409684
-0.122220813,51.44072326
-0.12097505,51.44307257
-0.121373922,51.44262329
-0.121498196,51.44237827
-0.121575773,51.44219727
-0.121578181,51.44189746
-0.121796688,51.44170102
-0.129913506,51.43752468
-0.129847845,51.43751436
-0.129593326,51.43738472
-0.129202353,51.43739789
-0.128887644,51.43725658
-0.128547853,51.43727349
-0.128234536,51.43721298
-0.124730523,51.45644499
-0.124605647,51.45621092
-0.124585179,51.45605412
-0.124672343,51.45585495
-0.108954492,51.47857307
-0.109295016,51.47843869
-0.129161385,51.43677824
-0.135593101,51.43854336
-0.128404791,51.43056237
-0.128112936,51.43041371
-0.127747978,51.43033585
-0.127331618,51.43036097
-0.126585442,51.43018831
-0.105382685,51.49368294
-0.105134894,51.49350478
-0.104803736,51.49349093
-0.12224728,51.46375607
-0.122514231,51.46405088
-0.128711844,51.45036088
-0.108693194,51.49466982
-0.128641221,51.4501479
-0.126309573,51.43003384
-0.091653698,51.46213655
-0.09646491,51.4293945
-0.096263721,51.42905606
-0.09624721,51.42923357
-0.108278999,51.49460686
-0.108008623,51.49452179
-0.107656994,51.49430373
-0.10733685,51.49418812
-0.106972696,51.49414932
-0.106728266,51.49405405
